,id,detail,gameweek,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,element,fixture,opponent_team
21134,3774,LIV (H) 1-2,6,0,0,15,0,9.7,2,0,3.3,19.2,90,0,0,0,0,0,4.0,0,1,0.01,0.06,0.07,2.54,2,557,60,12
21135,4438,BRE (A) 5-3,7,0,0,9,0,13.7,5,0,4.1,6.8,90,0,0,0,0,0,20.0,0,1,0.22,0.02,0.24,4.25,2,557,63,4
21136,5104,MCI (H) 1-2,8,0,0,8,0,1.8,2,0,1.5,13.6,90,0,0,0,0,0,0.0,0,1,0.00,0.00,0.00,1.62,2,557,80,13
21137,5771,BHA (A) 2-2,9,0,0,12,0,0.5,1,0,1.2,9.8,45,0,0,0,0,0,2.0,0,1,0.00,0.00,0.00,1.05,1,557,84,5
21138,6441,CRY (H) 2-2,10,0,0,8,0,0.4,1,0,1.7,14.6,28,0,0,0,0,0,2.0,0,0,0.02,0.00,0.02,1.32,1,557,100,7
21139,7115,SOU (H) 2-0,11,1,0,21,1,11.0,0,0,4.0,25.2,90,0,0,0,0,0,4.0,0,1,0.02,0.01,0.03,0.66,6,557,110,17
21140,7793,FUL (A) 1-4,12,1,1,32,0,23.7,1,0,6.8,43.8,90,0,0,0,0,0,0.0,0,1,0.00,0.29,0.29,1.03,6,557,115,9
21141,8477,BOU (H) 2-4,13,0,0,17,0,11.1,4,0,2.9,17.8,90,0,0,0,0,0,0.0,1,1,0.00,0.01,0.01,3.29,1,557,130,3
21142,9167,EVE (A) 4-0,14,0,0,14,0,5.2,4,0,3.4,24.4,90,0,0,0,0,0,4.0,0,1,0.00,0.01,0.01,1.02,2,557,134,8
21143,9810,WHU (A) 2-1,15,0,0,6,0,11.1,2,0,4.8,19.4,90,0,0,0,0,0,17.0,1,1,0.27,0.01,0.28,1.01,1,557,150,19
21144,10490,IPS (H) 1-2,16,0,0,12,0,15.9,2,0,3.4,12.8,90,0,0,0,0,0,5.0,0,1,0.06,0.07,0.13,1.20,2,557,160,10
21145,11191,LEI (A) 0-3,17,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,167,11
21146,11892,MUN (H) 2-0,18,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,180,14
21147,12597,TOT (A) 2-2,19,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,189,18
21148,13306,NFO (H) 0-3,20,0,0,4,0,6.6,1,0,2.0,11.0,31,0,0,0,0,0,2.0,0,0,0.00,0.04,0.04,1.49,1,557,200,16
21149,14017,NEW (A) 3-0,21,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,210,15
21150,14741,CHE (A) 3-1,22,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,213,6
21151,15470,ARS (H) 0-1,23,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,230,1
21152,16256,AVL (H) 2-0,24,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,240,2
21153,17078,LIV (A) 2-1,25,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,246,12
21154,17852,BOU (A) 0-1,26,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,253,3
21155,18615,FUL (H) 1-2,27,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,267,9
21156,19379,EVE (H) 1-1,28,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,280,8
21157,20029,SOU (A) 1-2,29,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,290,17
21158,20771,WHU (H) 1-0,30,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,295,19
21159,21542,IPS (A) 1-2,31,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,557,306,10
