,0
640,514287
641,516159
642,518438
643,509291
644,574398
645,489706
646,579075
647,530318
648,575034
649,499717
650,437499
651,179519
652,232112
653,485047
654,224860
655,463212
656,537403
657,588793
658,606745
659,588796
660,592662
661,432987
662,499167
663,447720
664,517179
665,461025
666,590012
667,547037
668,565858
669,464353
670,577974
671,516250
672,554194
673,556639
674,220695
675,576980
676,547801
677,447880
678,536109
679,577731
680,496683
681,539721
682,499726
683,611920
684,596054
685,589100
686,606775
687,602903
688,591385
689,591386
690,611917
691,611926
692,576637
693,545508
694,531997
695,547692
696,550615
697,577016
698,487837
699,519321
700,592736
701,518442
702,632822
703,494307
704,613120
705,622536
706,606774
707,532535
708,500058
709,549067
710,559962
711,613467
712,541462
713,575901
714,514254
715,198826
716,500016
717,485055
718,623095
719,620408
720,516939
721,20066
722,590760
723,550596
724,536241
725,204646
726,488439
727,568791
728,530121
729,574799
730,606921
731,606798
732,578153
733,616222
734,494779
735,438234
736,616059
737,607464
738,567121
739,535017
740,588555
741,501620
742,174292
743,439135
744,112520
745,465694
746,596777
747,135720
748,511499
749,531170
750,433312
751,609640
752,47431
753,496279
754,622758
755,504296
756,596047
757,547676
758,559684
759,618873
760,533710
761,567119
762,536238
763,439483
764,647671
765,575204
766,612534
767,591382
768,461537
769,599303
770,538182
771,547720
772,649208
773,514307
774,604988
775,597320
776,619146
777,630664
778,495024
779,547693
780,592712
781,563324
782,474907
783,519223
784,494551
