,0
Onana (AVL),AVL
Patterson (FUL),FUL
Pickford (FUL),FUL
Tarkowski (FUL),FUL
Y.Chermiti (FUL),FUL
Young (EVE),EVE
Adama (IPS),IPS
Andreas (IPS),IPS
Bassey (IPS),IPS
Benda (IPS),IPS
Cairney (IPS),IPS
Castagne (IPS),IPS
Diop (IPS),IPS
Harris (IPS),IPS
Iwobi (IPS),IPS
Leno (IPS),IPS
Lukić (IPS),IPS
Mbabu (FUL),FUL
Muniz (IPS),IPS
Raúl (IPS),IPS
Ream (FUL),FUL
Reed (IPS),IPS
Robinson (IPS),IPS
Stansfield (FUL),FUL
Tete (IPS),IPS
Vinicius (FUL),FUL
Wilson (IPS),IPS
Al-Hamadi (IPS),IPS
Baggott (IPS),IPS
Broadhead (IPS),IPS
Burgess (IPS),IPS
Burns (IPS),IPS
Chaplin (IPS),IPS
H.Clarke (IPS),IPS
Davis (IPS),IPS
Delap (CRY),CRY
Edmundson (IPS),IPS
Greaves (IPS),IPS
Harness (IPS),IPS
Hirst (IPS),IPS
Humphreys (IPS),IPS
Hutchinson (IPS),IPS
Johnson (IPS),IPS
Ladapo (IPS),IPS
Luongo (IPS),IPS
Morsy (IPS),IPS
Ndaba (IPS),IPS
Slicker (IPS),IPS
Taylor (IPS),IPS
Tuanzebe (BOU),BOU
Walton (IPS),IPS
Woolfenden (IPS),IPS
B.Soumaré (LEI),LEI
Cannon (LEI),LEI
Choudhury (LEI),LEI
Coady (LEI),LEI
Daka (LEI),LEI
De Cordova-Reid (LEI),LEI
Faes (LEI),LEI
Golding (LEI),LEI
Hermansen (LEI),LEI
Iversen (LEI),LEI
Justin (LEI),LEI
Kristiansen (LEI),LEI
Marcal (LEI),LEI
Mavididi (LEI),LEI
McAteer (LEI),LEI
Ndidi (LEI),LEI
Okoli (LEI),LEI
Ricardo (LEI),LEI
Souttar (LEI),LEI
Stolarczyk (LEI),LEI
Thomas (LEI),LEI
Vardy (LEI),LEI
Vestergaard (LEI),LEI
Ward (LEI),LEI
Winks (LEI),LEI
A.Becker (LIV),LIV
Alexander-Arnold (LIV),LIV
Bajcetic (LIV),LIV
Bradley (LIV),LIV
Carvalho (BHA),BHA
Clark (LIV),LIV
Darwin (LIV),LIV
Diogo J. (LIV),LIV
Doak (LIV),LIV
Elliott (LIV),LIV
Endo (LIV),LIV
Gakpo (LIV),LIV
Gomez (LIV),LIV
Gravenberch (LIV),LIV
C.Jones (LIV),LIV
Kelleher (BHA),BHA
Konaté (LIV),LIV
Luis Díaz (LIV),LIV
M.Salah (LIV),LIV
Mac Allister (LIV),LIV
McConnell (LIV),LIV
Morton (LIV),LIV
N.Phillips (LIV),LIV
Quansah (LIV),LIV
R.Williams (LIV),LIV
Robertson (LIV),LIV
Szoboszlai (LIV),LIV
Tsimikas (LIV),LIV
Van den Berg (BHA),BHA
Virgil (LIV),LIV
Akanji (MCI),MCI
Aké (MCI),MCI
Bernardo (MCI),MCI
Bobb (MCI),MCI
Carson (MCI),MCI
De Bruyne (MCI),MCI
Doku (MCI),MCI
Ederson M. (MCI),MCI
Foden (MCI),MCI
Grealish (MCI),MCI
Gvardiol (MCI),MCI
Haaland (MCI),MCI
J.Alvarez (MCI),MCI
João Cancelo (MCI),MCI
Kovačić (MCI),MCI
Lewis (MCI),MCI
Matheus N. (MCI),MCI
McAtee (MCI),MCI
Ortega Moreno (MCI),MCI
Phillips (MCI),MCI
Rodrigo (MCI),MCI
Rúben (MCI),MCI
Stones (MCI),MCI
Walker (BOU),BOU
Amad (MUN),MUN
Antony (MUN),MUN
B.Fernandes (MUN),MUN
Bayindir (MUN),MUN
Casemiro (MUN),MUN
Dalot (MUN),MUN
Eriksen (MUN),MUN
Evans (MUN),MUN
Garnacho (MUN),MUN
Hannibal (BOU),BOU
Heaton (MUN),MUN
Højlund (MUN),MUN
Lindelof (MUN),MUN
Maguire (MUN),MUN
Mainoo (MUN),MUN
Malacia (MUN),MUN
Martinez (MUN),MUN
McTominay (MUN),MUN
Mount (MUN),MUN
Onana (MUN),MUN
Pellistri (MUN),MUN
Rashford (MUN),MUN
Sancho (MUN),MUN
Shaw (MUN),MUN
Wan-Bissaka (WHU),WHU
Zirkzee (MUN),MUN
A.Murphy (NEW),NEW
Almirón (NEW),NEW
Barnes (NEW),NEW
Botman (NEW),NEW
Bruno G. (NEW),NEW
Burn (NEW),NEW
Dúbravka (NEW),NEW
Fraser (SOU),SOU
Gordon (NEW),NEW
Hall (NEW),NEW
Hayden (NEW),NEW
Isak (NEW),NEW
J.Murphy (NEW),NEW
Joelinton (NEW),NEW
Kelly (NEW),NEW
Krafth (NEW),NEW
Kuol (NEW),NEW
Lascelles (NEW),NEW
Lewis (NEW),NEW
Livramento (NEW),NEW
Longstaff (LEI),LEI
L.Miley (NEW),NEW
Odysseas (NEW),NEW
Pope (NEW),NEW
Ruddy (NEW),NEW
Schär (NEW),NEW
Targett (NEW),NEW
Tonali (NEW),NEW
Trippier (NEW),NEW
White (NEW),NEW
Willock (NEW),NEW
Wilson (NEW),NEW
Aina (NFO),NFO
Anderson (NFO),NFO
Awoniyi (NFO),NFO
Boly (NFO),NFO
Bowler (NFO),NFO
C.Miguel (NFO),NFO
Da Silva Moreira (NFO),NFO
Danilo (NFO),NFO
Dennis (NFO),NFO
Dominguez (NFO),NFO
Elanga (NEW),NEW
Gibbs-White (NFO),NFO
Hudson-Odoi (NFO),NFO
Mighten (NFO),NFO
Murillo (NFO),NFO
N.Williams (NFO),NFO
O.Richards (NFO),NFO
O'Brien (NFO),NFO
Omobamidele (NFO),NFO
Panzo (NFO),NFO
Sangaré (NFO),NFO
Sels (NFO),NFO
Toffolo (NFO),NFO
Turner (NFO),NFO
