,0
576,MID
577,MID
578,DEF
579,DEF
580,DEF
581,GKP
582,DEF
583,DEF
584,MID
585,MID
586,DEF
587,MID
588,MID
589,FWD
590,FWD
591,DEF
592,DEF
593,DEF
594,DEF
595,MID
596,DEF
597,GKP
598,MID
599,MID
600,MID
601,MID
602,MID
603,MID
604,MID
605,MID
606,MID
607,MID
608,MID
609,FWD
610,MID
611,MID
612,MID
613,MID
614,GKP
615,MID
616,DEF
617,FWD
618,MID
619,MID
620,MID
621,MID
622,MID
623,MID
624,GKP
625,MID
626,DEF
627,DEF
628,DEF
629,MID
630,DEF
631,MID
632,MID
633,MID
634,MID
635,MID
636,MID
637,DEF
638,MID
639,GKP
640,DEF
641,GKP
642,DEF
643,MID
644,MID
645,MID
646,MID
647,MID
648,FWD
649,DEF
650,DEF
651,MID
652,MID
653,DEF
654,MID
655,MID
656,MID
657,DEF
658,DEF
659,MID
660,MID
661,GKP
662,DEF
663,DEF
664,DEF
665,FWD
666,DEF
667,MID
668,GKP
669,GKP
670,DEF
671,MID
672,DEF
673,MID
674,MID
675,FWD
676,MID
677,DEF
678,DEF
679,MID
680,DEF
681,DEF
682,MID
683,DEF
684,MID
685,DEF
686,MID
687,DEF
688,DEF
689,MID
690,MID
691,DEF
692,DEF
693,MID
694,MID
695,MID
696,MID
697,DEF
698,FWD
699,DEF
700,DEF
701,MID
702,DEF
703,DEF
704,GKP
705,DEF
706,FWD
707,DEF
708,FWD
709,DEF
710,MID
711,DEF
712,DEF
713,DEF
714,MID
715,DEF
716,DEF
717,GKP
718,MID
719,DEF
720,DEF
721,GKP
722,FWD
723,MID
724,FWD
725,MID
726,DEF
727,GKP
728,MID
729,MID
730,MID
731,DEF
732,DEF
733,DEF
734,MID
735,FWD
736,GKP
737,DEF
738,MID
739,GKP
740,GKP
741,DEF
742,MID
743,DEF
744,GKP
745,MID
746,DEF
747,DEF
748,MID
749,DEF
750,MID
751,MID
752,MID
753,MID
754,DEF
755,MID
756,FWD
757,DEF
758,MID
759,MID
760,FWD
761,FWD
762,DEF
763,GKP
764,FWD
765,MID
766,DEF
767,DEF
768,GKP
769,FWD
770,MID
771,DEF
772,MID
773,MID
774,DEF
775,MID
776,DEF
777,MID
778,FWD
779,DEF
780,MID
781,DEF
782,DEF
783,MID
784,DEF
